validation,model,fold,n_presence,n_background,AUC,threshold,sensitivity,specificity,TSS,Boyce,block_size
spatial,MaxEnt,1,205,5053,0.9769062570894856,0.36815353,0.9463414634146341,0.9810013853156541,0.9273428487302882,0.9446083050386482,selected
spatial,MaxEnt,2,62,252,0.5526753712237583,0.34083785,0.6774193548387096,0.43253968253968256,0.1099590373783923,-0.07872868964324514,selected
spatial,MaxEnt,3,166,788,0.6919454467616659,0.3156503,0.8373493975903614,0.48096446700507617,0.31831386459543753,0.7619781995301798,selected
spatial,MaxEnt,4,296,677,0.7749211545371073,0.19617889000000002,0.75,0.654357459379616,0.404357459379616,0.9213353404526926,selected
spatial,MaxEnt,5,360,3230,0.9538716890264878,0.3586628,0.6055555555555555,0.961609907120743,0.5671654626762985,0.9146558819420768,selected
spatial,MaxEnt,1,357,4385,0.9750467119573029,0.28074779,0.9523809523809523,0.9423033067274801,0.8946842591084323,0.9518171700874817,half
spatial,MaxEnt,2,132,1806,0.8879995973019229,0.33697903,0.1893939393939394,0.9529346622369879,0.1423286016309273,-0.11790987445182835,half
spatial,MaxEnt,3,385,474,0.8958025097265604,0.26171334,0.9532467532467532,0.7215189873417721,0.6747657405885255,0.9652765904788788,half
spatial,MaxEnt,4,115,1067,0.7595534004319302,0.18517673,0.9652173913043478,0.3252108716026242,0.2904282629069721,0.8483293904371635,half
spatial,MaxEnt,5,100,2268,0.921005291005291,0.38954093,0.34,0.9691358024691358,0.30913580246913575,0.5158049363272686,half
spatial,MaxEnt,1,41,449,0.8114509207452877,0.36019727,0.6829268292682927,0.755011135857461,0.4379379651257538,0.6767010816869269,double
spatial,MaxEnt,2,91,727,0.8946445576431822,0.29037376000000004,0.989010989010989,0.6079779917469051,0.5969889807578941,0.8176961069481441,double
spatial,MaxEnt,3,842,673,0.5757730303212122,0.26136439,0.33729216152019004,0.6389301634472511,-0.023777675032558898,-0.600059433353557,double
spatial,MaxEnt,4,51,4892,0.8931508825934299,0.41336394,0.29411764705882354,0.9709730171708912,0.26509066422971483,0.14129466190893544,double
spatial,MaxEnt,5,64,3259,0.9212709036514268,0.3911284,0.25,0.9754525928198834,0.2254525928198834,0.1935903192129875,double
