validation,model,fold,AUC,threshold,sensitivity,specificity,TSS,Boyce
random,MaxEnt,1,0.9595917431192661,0.31950082,0.9174311926605505,0.9045,0.8219311926605504,0.9950614174084733
random,MaxEnt,2,0.9664518348623853,0.32853083,0.9357798165137615,0.8955,0.8312798165137614,0.9832190703037098
random,MaxEnt,3,0.967743119266055,0.34747623,0.9311926605504587,0.915,0.8461926605504586,0.9613069703387884
random,MaxEnt,4,0.9680481651376147,0.35313864,0.9311926605504587,0.894,0.8251926605504587,0.9868821381341688
random,MaxEnt,5,0.9583271889400922,0.36182387,0.8940092165898618,0.913,0.8070092165898619,0.9945032858747483
spatial,MaxEnt,1,0.9769062570894856,0.36815353,0.9463414634146341,0.9810013853156541,0.9273428487302882,0.9446083050386482
spatial,MaxEnt,2,0.5526753712237583,0.34083785,0.6774193548387096,0.43253968253968256,0.1099590373783923,-0.07872868964324514
spatial,MaxEnt,3,0.6919454467616659,0.3156503,0.8373493975903614,0.48096446700507617,0.31831386459543753,0.7619781995301798
spatial,MaxEnt,4,0.7749211545371073,0.19617889000000002,0.75,0.654357459379616,0.404357459379616,0.9213353404526926
spatial,MaxEnt,5,0.9538716890264878,0.3586628,0.6055555555555555,0.961609907120743,0.5671654626762985,0.9146558819420768
random,GLM,1,0.9477408256880734,0.10362974,0.944954128440367,0.86,0.804954128440367,0.915586447321854
random,GLM,2,0.9476880733944955,0.10944105999999999,0.9678899082568807,0.8435,0.8113899082568807,0.969707336343848
random,GLM,3,0.9560573394495413,0.11269383,0.9541284403669725,0.8625,0.8166284403669726,0.972797486501864
random,GLM,4,0.9422293577981652,0.10291783,0.9724770642201835,0.8395,0.8119770642201836,0.9591689795510766
random,GLM,5,0.9407672811059908,0.10039076999999999,0.9400921658986175,0.85,0.7900921658986175,0.9386649234901786
spatial,GLM,1,0.9784846480960356,0.16907668,0.9463414634146341,0.9764496338808628,0.9227910972954969,0.8585480386734351
spatial,GLM,2,0.5921018945212494,0.11977119,0.8870967741935484,0.23809523809523808,0.1251920122887864,-0.09180050895952087
spatial,GLM,3,0.7089321754021161,0.09641822,0.95783132530120485,0.2779187817258883,0.2357501070270931,0.6876372672191993
spatial,GLM,4,0.7504790610403609,0.09617552,0.7871621621621622,0.5819793205317577,0.3691414826939199,0.8822947105968748
spatial,GLM,5,0.9601590987272102,0.07360821,0.9777777777777777,0.9040247678018576,0.8818025455796352,0.8461460266509353
